﻿Venue Name,Venue address,Venue type,Latitude,Longitude,Suburb,suburb_list,geolocation
"Fallon Park, Everton Park","Fallon Park, 30 Fallon Street, Everton Park",Park,-27.4045,152.9904,Everton Park,"E, Everton Park","-27.4045, 152.9904"
"Faulkner Park, Graceville","Faulkner Park, 80 Waratah Avenue, Graceville",Park,-27.5174,152.9838,Graceville,"G, Graceville","-27.5174, 152.9838"
"Fauna Parade Park, Rocklea","Fauna Parade Park, 24 Corella Street, Rocklea",Park,-27.5492,153.0143,Rocklea,"R, Rocklea","-27.5492, 153.0143"
"Faversham Street Park, Wooloongabba","Faversham Street Park, 33 Faversham Street, Woolloongabba",Park,-27.4964,153.0389,Woolloongabba,"W, Woolloongabba","-27.4964, 153.0389"
"Federation Street Park, Wynnum West","Federation Street Park, 31 Federation Street, Wynnum West",Park,-27.4524,153.152,Wynnum West,"W, Wynnum West","-27.4524, 153.152"
"Fehlberg Park, Fairfield","Fehlberg Park, 269 Venner Road, Fairfield",Park,-27.5107,153.0184,Fairfield,"F, Fairfield","-27.5107, 153.0184"
"Feldt Street Park, Moorooka","Feldt Street Park, 333 Tarragindi Road, Moorooka",Park,-27.5349,153.0318,Moorooka,"M, Moorooka","-27.5349, 153.0318"
"Felspar Street Park, Eight Mile Plains","Felspar Street Park, 15 Stanton Court, Eight Mile Plains",Park,-27.5781,153.0849,Eight Mile Plains,"E, Eight Mile Plains","-27.5781, 153.0849"
"Fenwick Park, Mitchelton","Fenwick Park, 692 Samford Road, Mitchelton",Park,-27.4126,152.9712,Mitchelton,"M, Mitchelton","-27.4126, 152.9712"
"Ferguson Park, Bracken Ridge","Ferguson Park, 201 Barrett Street, Bracken Ridge",Park,-27.318,153.0369,Bracken Ridge,"B, Bracken Ridge","-27.318, 153.0369"
"Ferguson Park, Enoggera","Ferguson Park, 305 Samford Road, Enoggera",Park,-27.42,152.9875,Enoggera,"E, Enoggera","-27.42, 152.9875"
Ferny Grove Aqua Park,"Ferny Grove Aqua Park, Keperra Picnic Grounds, Ferny Grove",Park,-27.4120749,152.9409415,Ferny Grove,"F, Ferny Grove","-27.4120749, 152.9409415"
"Ferny Grove Picnic Ground Park, Ferny Grove","Ferny Grove Picnic Ground Park, 1233 Samford Road, Ferny Grove",Park,-27.4028,152.939,Ferny Grove,"F, Ferny Grove","-27.4028, 152.939"
"Ferny Grove Resource Recovery Centre, Ferny Grove","Ferny Grove Resource Recovery Centre, 101 Upper Kedron Road, Ferny Grove",General Council venue,-27.4098,152.9239,Ferny Grove,"F, Ferny Grove","-27.4098, 152.9239"
"Fiddlewood Crescent Park, Bellbowrie","Fiddlewood Crescent Park, 65 Fiddlewood Crescent, Bellbowrie",Park,-27.5666,152.8792,Bellbowrie,"B, Bellbowrie","-27.5666, 152.8792"
"Fifteen Mile Corner, Corinda","Fifteen Mile Corner, 19 Teesdale Street, Corinda",Park,-27.5451,152.9737,Corinda,"C, Corinda","-27.5451, 152.9737"
"Fifty Plus Centre, Brisbane City","Fifty Plus Centre, 64 Adelaide Street, Brisbane",General Council venue,-27.4691,153.0241,Brisbane City,"B, Brisbane City","-27.4691, 153.0241"
"Fig Tree Common Park, Fig Tree Pocket","Fig Tree Common Park, 26 Errogie Place, Fig Tree Pocket",Park,-27.5249,152.9545,Fig Tree Pocket,"F, Fig Tree Pocket","-27.5249, 152.9545"
"Fig Tree Pocket Riverside Reserve, Fig Tree Pocket","Fig Tree Pocket Riverside Reserve, 870 Fig Tree Pocket Road, Fig Tree Pocket",Park,-27.5422,152.9729,Fig Tree Pocket,"F, Fig Tree Pocket","-27.5422, 152.9729"
Fig Tree Point Park (road reserve),"Fig Tree Point Park, 751 Esplanade, Lota",Park,-27.469,153.1929,Lota,"L, Lota","-27.469, 153.1929"
"Fihelly Street Park, Keperra","Fihelly Street Park , 97 Fihelly Street, Keperra",Park,-27.4061,152.9608,Keperra,"K, Keperra","-27.4061, 152.9608"
"Finney Road Park, Indooroopilly","Finney Road Park, 24 Finney Road, Indooroopilly",Park,-27.502,152.9699,Indooroopilly,"I, Indooroopilly","-27.502, 152.9699"
"Finsbury Park, Wilston","Finsbury Park, 106A Finsbury Street, Wilston",Park,-27.4401,153.0147,Wilston,"W, Wilston","-27.4401, 153.0147"
"Fischer Family Park, Rochedale","Fischer Family Park, 12 Blackwood Street, Rochedale",Park,-27.56708,153.1179673,Rochedale,"R, Rochedale","-27.56708, 153.1179673"
"Fisherman's Bend Park, Balmoral","Fisherman's Bend Park, 15 Fishermans Bend, Balmoral",Park,-27.4578,153.0681,Balmoral,"B, Balmoral","-27.4578, 153.0681"
"Fitzgerald Street Park, Morningside","Fitzgerald Street Park, 329 Bennetts Road, Morningside",Park,-27.4774,153.0675,Morningside,"M, Morningside","-27.4774, 153.0675"
Fitzgibbon Bushlands,"Fitzgibbon Bushlands, 253 Telegraph Road, Fitzgibbon",Park,-27.35,153.033333,Fitzgibbon,"F, Fitzgibbon","-27.35, 153.033333"
Fitzgibbon Community Garden,"Fitzgibbon Community Garden, 82 Merimbula Crescent, Fitzgibbon",Community Garden,-27.338374,153.023894,Fitzgibbon,"F, Fitzgibbon","-27.338374, 153.023894"
"Flametree Street Park, Bridgeman Downs","Flametree Street Park, 33 Flametree Street, Bridgeman Downs",Park,-27.349,153.0017,Bridgeman Downs,"B, Bridgeman Downs","-27.349, 153.0017"
"Fleming Road Park, Tingalpa","Fleming Road Park, 1716 Wynnum Road, Tingalpa",Park,-27.4613,153.1274,Tingalpa,"T, Tingalpa","-27.4613, 153.1274"
"Fletcher Parade Park (nos.161-231), Bardon","Fletcher Parade Park (nos.161-231), 219 Fletcher Parade, Bardon",Park,-27.4507,152.9821,Bardon,"B, Bardon","-27.4507, 152.9821"
"Flockton Street Park, Stafford Heights","Flockton Street Park, 2 Lanchester Street, Stafford Heights",Park,-27.3958,153.0016,Stafford Heights,"S, Stafford Heights","-27.3958, 153.0016"
"Florence Place Park, Oxley","Florence Place Park, 27 Florence Place, Oxley",Park,-27.5555,152.9638,Oxley,"O, Oxley","-27.5555, 152.9638"
"Floribunda Place Park, Sunnybank Hills","Floribunda Place Park, 25 Floribunda Street, Sunnybank Hills",Park,-27.5937,153.0466,Sunnybank Hills,"S, Sunnybank Hills","-27.5937, 153.0466"
"Flynn Oval Park, Windsor","Flynn Oval Park, 71 Cartwright Street, Windsor",Park,-27.4391,153.034,Windsor,"W, Windsor","-27.4391, 153.034"
"Forbes Park, Inala","Forbes Park, 4 Ilex Street, Inala",Park,-27.5863,152.9692,Inala,"I, Inala","-27.5863, 152.9692"
"Forest Lake Community Hall, Forest Lake","Forest Lake Community Hall, 60 College Avenue, Forest Lake",Community Hall,-27.6183,152.9724,Forest Lake,"F, Forest Lake","-27.6183, 152.9724"
"Forest Lake Lions Park, Forest lake","Forest Lake Lions Park, 36 Forest Lake Boulevard, Forest Lake",Park,-27.6049,152.9528,Forest Lake,"F, Forest Lake","-27.6049, 152.9528"
Forest Lake mobile library,"Forest Lake mobile library, Forest Lake Village Shopping Centre, Forest Lake - outside Australia Post",Mobile library,-27.6253,152.9688,Forest Lake,"F, Forest Lake","-27.6253, 152.9688"
"Forest Lake Sports Fields, Forest Lake","Forest Lake Sports Fields, 310 Forest Lake Boulevard, Forest Lake",Park,-27.6186,152.9656,Forest Lake,"F, Forest Lake","-27.6186, 152.9656"
"Formation Street Park (road reserve), Wacol","Formation Street Park, 31 Campbell Avenue, Wacol",Park,-27.603,152.9272,Wacol,"W, Wacol","-27.603, 152.9272"
"Fort Road Bushland, Oxley","Fort Road Bushland, 44 Cliveden Avenue, Oxley",Park,-27.5474,152.967,Oxley,"O, Oxley","-27.5474, 152.967"
"Fountain Reserve, Brisbane City","Fountain Reserve, 118 Eagle Street, Brisbane City",Park,-27.466,153.0302,Brisbane City,"B, Brisbane City","-27.466, 153.0302"
"Foxton Street Park (no. 130), Morningside","Foxton Street Park (no. 130), 130 Foxton Street, Morningside",Park,-27.475,153.0748,Morningside,"M, Morningside","-27.475, 153.0748"
"Franchina Family Park, Boondall","Franchina Family Park, 25 Jalomy Street, Boondall",Park,-27.3513,153.0597,Boondall,"B, Boondall","-27.3513, 153.0597"
"Francis Outlook Park, Corinda","Francis Outlook Park, 157 Dewar Terrace, Corinda",Park,-27.5368,152.9764,Corinda,"C, Corinda","-27.5368, 152.9764"
Frank Doyle Park,"Frank Doyle Park, Allpass Parade and Shorncliffe Parade, Sandgate",Park,-27.3203,153.0749,Sandgate,"S, Sandgate","-27.3203, 153.0749"
"Frank Roberts Park, Wavell Heights","Frank Roberts Park, 19 Charlotte Street, Wavell Heights",Park,-27.395,153.051,Wavell Heights,"W, Wavell Heights","-27.395, 153.051"
"Frank Sleeman Park, Boondall","Frank Sleeman Park, 26A Parthenia Street, Boondall",Park,-27.361,153.0591,Boondall,"B, Boondall","-27.361, 153.0591"
"Frank Waters Park, Ashgrove","Frank Waters Park, 101 Dorrington Drive, Ashgrove",Park,-27.4372,152.9919,Ashgrove,"A, Ashgrove","-27.4372, 152.9919"
"Fred Campbell Park, Aspley","Fred Campbell Park, 748 Zillmere Road, Aspley",Park,-27.3585,153.0208,Aspley,"A, Aspley","-27.3585, 153.0208"
"Fred Francis Park, Bracken Ridge","Fred Francis Park, 30 Woodcroft Street, Bracken Ridge",Park,-27.3133,153.0398,Bracken Ridge,"B, Bracken Ridge","-27.3133, 153.0398"
"Frederick Annand Park, Chermside West","Frederick Annand Park, 632 Webster Road, Chermside West",Park,-27.3794,153.0192,Chermside West,"C, Chermside West","-27.3794, 153.0192"
"Free Street Park, Newmarket","Free Street Park, 12 Free Street, Newmarket",Park,-27.4443,153.0028,Newmarket,"N, Newmarket","-27.4443, 153.0028"
"Fremont Street Park, Seventeen Mile Rocks","Fremont Street Park, 6 Delapine Place, Seventeen Mile Rocks",Park,-27.5474,152.9592,Seventeen Mile Rocks,"S, Seventeen Mile Rocks","-27.5474, 152.9592"
"Freney Street Park, Rocklea","Freney Street Park, 90 Freney Street, Rocklea",Park,-27.5521,153.0176,Rocklea,"R, Rocklea","-27.5521, 153.0176"
"Frew Park, Milton","Frew Park, 315 Milton Road, Milton",Park,-27.4692,153.0002,Milton,"M, Milton","-27.4692, 153.0002"
"Frinton Street Park, Wishart","Frinton Street Park, 6 Frinton Street, Wishart",Park,-27.5521,153.0981,Wishart,"W, Wishart","-27.5521, 153.0981"
"Fursden Road Park, Cannon Hill","Fursden Road Park, 132 Fursden Road, Cannon Hill",Park,-27.4843,153.1088,Cannon Hill,"C, Cannon Hill","-27.4843, 153.1088"
Gabba Hill Community Garden,"Gabba Hill Community Garden, 2 Fleurs Street, Woolloongabba",Community Garden,-27.488323,153.032218,Woolloongabba,"W, Woolloongabba","-27.488323, 153.032218"
"Gaddes Park, Sunnybank","Gaddes Park, 27 Evenwood Street, Sunnybank",Park,-27.574519,153.041384,Sunnybank,"S, Sunnybank","-27.574519, 153.041384"
"Gagarra Street Park, Eight Mile Plains","Gagarra Street Park, 43A Gagarra Street, Eight Mile Plains",Park,-27.5831,153.0893,Eight Mile Plains,"E, Eight Mile Plains","-27.5831, 153.0893"
"Gair Park, Dutton Park","Gair Park, 181 Annerley Road, Dutton Park",Park,-27.4967,153.0274,Dutton Park,"D, Dutton Park","-27.4967, 153.0274"
Gap Creek Reserve Picnic Area,"Gap Creek Reserve Picnic Area, Gap Creek Road, Mount Coot-Tha",Park,-27.4789,152.9286,Mt Coot-tha,"M, Mt Coot-tha","-27.4789, 152.9286"
Garden City Library,"Garden City Library, Westfield Mt Gravatt, Level R4, corner of Logan Road and Kessels Road, Upper Mount Gravatt",Library,-27.5614743,153.0803513,Upper Mt Gravatt,"U, Upper Mt Gravatt","-27.5614743, 153.0803513"
"Garrett Park, Runcorn","Garrett Park, 51 Vista Circuit, Runcorn",Park,-27.5898,153.0819,Runcorn,"R, Runcorn","-27.5898, 153.0819"
"Garth Webb Park, Camp Hill","Garth Webb Park, 26 Arrowsmith Street, Camp Hill",Park,-27.4885,153.086,Camp Hill,"C, Camp Hill","-27.4885, 153.086"
"Gaythorne Bowls Club, Gaythorne","Gaythorne Bowls Club, 18 Prospect Road, Gaythorne",Non-Council venue,-27.415298,152.980348,Mitchelton,"M, Mitchelton","-27.415298, 152.980348"
"Gaythorne Bowls Club, Gaythorne","Gaythorne Bowls Club, 18 Prospect Road, Gaythorne",Non-Council venue,-27.4153153,152.9781671,Gaythorne,"G, Gaythorne","-27.4153153, 152.9781671"
"Geebung State School, Geebung","Geebung State School, 250 Newman Road, Geebung",Non-Council venue,-27.3745993,153.0433272,Geebung,"G, Geebung","-27.3745993, 153.0433272"
"Geebung Tip Shop, Geebung","Geebung Tip Shop, 27A Prosperity Place, Geebung",General Council venue,-27.3657,153.0467,Geebung,"G, Geebung","-27.3657, 153.0467"
"Gemstone Crescent Park, Acacia Ridge","Gemstone Crescent Park, 26 Gemstone Crescent, Acacia Ridge",Park,-27.5921,153.0161,Acacia Ridge,"A, Acacia Ridge","-27.5921, 153.0161"
"Geoff Toakley Park, Mount Gravatt East","Geoff Toakley Park, 78 Cortis Street, Mount Gravatt East",Park,-27.5401,153.0843,Mt Gravatt East,"M, Mt Gravatt East","-27.5401, 153.0843"
"George Clayton Park, Manly","George Clayton Park, 298 The Esplanade, Manly",Park,-27.4464,153.1842,Manly,"M, Manly","-27.4464, 153.1842"
"George Scarlett Park, Corinda","George Scarlett Park, 101 Pratten Street, Corinda",Park,-27.5489,152.9845,Corinda,"C, Corinda","-27.5489, 152.9845"
"George Tuckett Park, Rocklea","George Tuckett Park, 715 Beaudesert Road, Rocklea",Park,-27.556702,153.020299,Rocklea,"R, Rocklea","-27.556702, 153.020299"
"Gibbins Park, Sunnybank Hills","Gibbins Park, 3/22A Gibbins Street, Sunnybank Hills",Park,-27.6047,153.0518,Sunnybank Hills,"S, Sunnybank Hills","-27.6047, 153.0518"
"Gibson Crescent Park, Bellbowrie","Gibson Crescent Park, 105 Pioneer Crescent, Bellbowrie",Park,-27.5601,152.8666,Bellbowrie,"B, Bellbowrie","-27.5601, 152.8666"
"Gibson Park, Stafford","Gibson Park, 352 Stafford Road, Stafford",Park,-27.4126,153.0142,Stafford,"S, Stafford","-27.4126, 153.0142"
"Gibson Place Park, Holland Park West","Gibson Place Park, 12 Monaco Street, Holland Park West",Park,-27.5279,153.0578,Holland Park West,"H, Holland Park West","-27.5279, 153.0578"
"Gilbert Park, Red Hill","Gilbert Park, 98 Fulcher Road, Red Hill",Park,-27.4483,152.997,Red Hill,"R, Red Hill","-27.4483, 152.997"
"Gilbert Road Park, Grange","Gilbert Road Park, 110 Uxbridge Street, Grange",Park,-27.4207,153.0223,Grange,"G, Grange","-27.4207, 153.0223"
"Giraween Park, Graceville","Giraween Park, 322 Verney Road East, Graceville",Park,-27.5215,152.9884,Graceville,"G, Graceville","-27.5215, 152.9884"
"Gladstone Street Park (nos 48-58), Coorparoo","Gladstone Street Park, 58 Gladstone Street, Coorparoo",Park,-27.492,153.0544,Coorparoo,"C, Coorparoo","-27.492, 153.0544"
"Gladstone Street Park (nos. 14-18), Oxley","Gladstone Street Park, 20 Lincoln Street, Oxley",Park,-27.5556,152.9777,Oxley,"O, Oxley","-27.5556, 152.9777"
"Glasshouse Crescent Park, Forest Lake","Glasshouse Crescent Park, 24 Toomba Place, Forest Lake",Park,-27.6181,152.9745,Forest Lake,"F, Forest Lake","-27.6181, 152.9745"
"Glen Harding Park, Ashgrove","Glen Harding Park, 185 Coopers Camp Road, Ashgrove",Park,-27.4512,152.9792,Ashgrove,"A, Ashgrove","-27.4512, 152.9792"
"Glenalwyn Street Park, Holland Park","Glenalwyn Street Park, 103 Pine Mountain Road, Holland Park",Park,-27.5173,153.0844,Holland Park,"H, Holland Park","-27.5173, 153.0844"
"Glenefer Street Park, Runcorn","Glenefer Street Park, 35 Glenefer Street, Runcorn",Park,-27.5991,153.0673,Runcorn,"R, Runcorn","-27.5991, 153.0673"
"Glindemann  Park, Holland Park West","Glindemann  Park, 1208 Logan Road, Holland Park West",Park,-27.520863,153.068177,Holland Park West,"H, Holland Park West","-27.520863, 153.068177"
"Glindemann Drive Park, Holland Park","Glindermann Drive Park, 31 Holland Road, Holland Park",Park,-27.5199,153.0661,Holland Park,"H, Holland Park","-27.5199, 153.0661"
"Glorious Way Park, Forest Lake","Glorious Way Park, 25 Glorious Way, Forest Lake",Park,-27.6162,152.9745,Forest Lake,"F, Forest Lake","-27.6162, 152.9745"
